"","x"
"wrong",3
"zap",3
"abrupt",2
"abysm",2
"adam",2
"advers",2
"adversari",2
"aggriev",2
"agoni",2
"ail",2
"allergi",2
"ambigu",2
"ambival",2
"anarchist",2
"angri",2
"annihil",2
"antagon",2
"antagonist",2
"anxieti",2
"apathet",2
"apologist",2
"arduous",2
"asinin",2
"assassin",2
"atroc",2
"attack",2
"autocrat",2
"avarici",2
"avers",2
"awe",2
"awkward",2
"backbit",2
"backward",2
"backwood",2
"bad",2
"banal",2
"banish",2
"bastard",2
"batter",2
"beg",2
"beggar",2
"bemoan",2
"bent",2
"bereav",2
"bicker",2
"bigotri",2
"bite",2
"blasphem",2
"blatant",2
"blister",2
"boil",2
"bombard",2
"breakup",2
"broken",2
"bulki",2
"bull",2
"bungl",2
"burdensom",2
"bust",2
"calam",2
"calamit",2
"cancer",2
"cannib",2
"careless",2
"cat",2
"caustic",2
"chastis",2
"clamor",2
"clich",2
"cloud",2
"coat",2
"cold",2
"commot",2
"complaint",2
"complic",2
"compuls",2
"conced",2
"conceit",2
"concen",2
"concess",2
"congest",2
"conspicu",2
"conspir",2
"conspiraci",2
"contempt",2
"contemptu",2
"contort",2
"contradict",2
"contriv",2
"controversi",2
"coward",2
"crap",2
"craven",2
"crazi",2
"cruel",2
"cruelti",2
"crumbl",2
"cunt",2
"cuss",2
"cynic",2
"damnabl",2
"dark",2
"darken",2
"dastard",2
"daze",2
"dead",2
"debauch",2
"debilit",2
"debt",2
"decad",2
"decay",2
"defiant",2
"defil",2
"deform",2
"dehuman",2
"delinqu",2
"delud",2
"delus",2
"demean",2
"demolish",2
"depriv",2
"desert",2
"desicc",2
"despic",2
"despis",2
"despoil",2
"destitut",2
"destroy",2
"detriment",2
"deviat",2
"devil",2
"devilish",2
"diatrib",2
"difficulti",2
"ding",2
"dirt",2
"dirtbag",2
"disabl",2
"disaffect",2
"disastr",2
"disavow",2
"disbeliev",2
"discourt",2
"discrimin",2
"disgruntl",2
"dishonest",2
"disinclin",2
"disingenu",2
"disinterest",2
"dismiss",2
"disobedi",2
"disori",2
"displac",2
"disregard",2
"disreput",2
"dissappoint",2
"dissembl",2
"dissolut",2
"dizz",2
"dog",2
"domin",2
"doom",2
"douchebag",2
"downheart",2
"downsid",2
"downturn",2
"drastic",2
"drawback",2
"droop",2
"drop",2
"dropout",2
"dubious",2
"dungeon",2
"eccentr",2
"egotist",2
"egregi",2
"emphat",2
"encroach",2
"enemi",2
